src_ip,dst_ip,src_port,dst_port,protocol,packet_size
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
461,424,51352,443,6,54
461,306,51321,443,6,174
461,306,51321,443,6,1494
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
